command,value,answer
cmd_enter,8,8
cmd_enter,3,3
cmd_left_shift,-999,64
cmd_enter,2,2
cmd_right_shift,-999,16
cmd_pop,-999,-999
cmd_clear,-999,-999
cmd_enter,5,5
cmd_top,-999,5
cmd_enter,8,8
cmd_or,-999,13
cmd_enter,3,3
cmd_left_shift,-999,104
cmd_enter,3,3
cmd_right_shift,-999,13
cmd_enter,3,3
cmd_and,-999,1
cmd_clear,-999,-999
cmd_enter,3,3
cmd_enter,7,7
cmd_add,-999,10
cmd_top,-999,10
cmd_enter,65535,65535
cmd_enter,1,1
cmd_add,-999,-999
cmd_pop,-999,65535
cmd_pop,-999,10
cmd_pop,-999,-999
cmd_enter,1,1
cmd_enter,2,2
cmd_enter,3,3
cmd_enter,4,4
cmd_add,-999,7
cmd_add,-999,9
cmd_add,-999,10
